Time (min),Intensity (mAU)
0.002083,0.016212
0.008751,0.015736
0.015418,0.015736
0.022086,0.017166
0.028754,0.020027
0.035421,0.022888
0.042089,0.025749
0.048756,0.028133
0.055424,0.029564
0.062091,0.030041
0.068759,0.029564
0.075426,0.028610
0.082094,0.027657
0.088762,0.028133
0.095429,0.028610
0.102097,0.029087
0.108764,0.029564
0.115432,0.030041
0.122099,0.029564
0.128767,0.028610
0.135434,0.027180
0.142102,0.026226
0.148770,0.026703
0.155437,0.028133
0.162105,0.029564
0.168772,0.030041
0.175440,0.029087
0.182107,0.027657
0.188775,0.026226
0.195442,0.025272
0.202110,0.023365
0.208778,0.021935
0.215445,0.020504
0.222113,0.019550
0.228780,0.017643
0.235448,0.014782
0.242115,0.012875
0.248783,0.011921
0.255450,0.011444
0.262118,0.010967
0.268786,0.011444
0.275453,0.013351
0.282121,0.015259
0.288788,0.015736
0.295456,0.016212
0.302123,0.015736
0.308791,0.014782
0.315458,0.012875
0.322126,0.010967
0.328794,0.009537
0.335461,0.008106
0.342129,0.006676
0.348796,0.005722
0.355464,0.004768
0.362131,0.003815
0.368799,0.002861
0.375466,0.002861
0.382134,0.004768
0.388802,0.007629
0.395469,0.010014
0.402137,0.011444
0.408804,0.011921
0.415472,0.011921
0.422139,0.011444
0.428807,0.010967
0.435474,0.010490
0.442142,0.010014
0.448810,0.010014
0.455477,0.010490
0.462145,0.010490
0.468812,0.009537
0.475480,0.008106
0.482147,0.007153
0.488815,0.006199
0.495482,0.004292
0.502150,0.000954
0.508818,-0.002384
0.515485,-0.005245
0.522153,-0.005245
0.528820,-0.003815
0.535488,-0.001431
0.542155,0.000954
0.548823,0.001907
0.555490,0.002861
0.562158,0.004292
0.568826,0.005722
0.575493,0.006676
0.582161,0.008106
0.588828,0.010967
0.595496,0.012875
0.602163,0.012875
0.608831,0.010014
0.615498,0.007153
0.622166,0.005245
0.628834,0.003338
0.635501,0.000954
0.642169,-0.000954
0.648836,-0.002384
0.655504,-0.003338
0.662171,-0.003815
0.668839,-0.003338
0.675506,-0.002384
0.682174,-0.000954
0.688842,0.000954
0.695509,0.001907
0.702177,0.002861
0.708844,0.002861
0.715512,0.002384
0.722179,0.000954
0.728847,-0.000954
0.735514,-0.001907
0.742182,-0.002384
0.748850,-0.002384
0.755517,-0.001431
0.762185,0.000000
0.768852,0.001431
0.775520,0.001907
0.782187,0.000954
0.788855,-0.000477
0.795523,-0.002384
0.802190,-0.003338
0.808858,-0.004292
0.815525,-0.004768
0.822193,-0.005245
0.828860,-0.005722
0.835528,-0.006676
0.842195,-0.008106
0.848863,-0.010014
0.855531,-0.011444
0.862198,-0.011921
0.868866,-0.010967
0.875533,-0.010014
0.882201,-0.009537
0.888868,-0.009537
0.895536,-0.009537
0.902203,-0.010014
0.908871,-0.011444
0.915538,-0.013351
0.922206,-0.013828
0.928874,-0.014305
0.935541,-0.014305
0.942209,-0.014782
0.948876,-0.015259
0.955544,-0.015259
0.962211,-0.015736
0.968879,-0.014782
0.975546,-0.013828
0.982214,-0.013351
0.988882,-0.013351
0.995549,-0.013828
1.002217,-0.014782
1.008884,-0.015736
1.015552,-0.016212
1.022219,-0.016689
1.028887,-0.017166
1.035555,-0.016689
1.042222,-0.016212
1.048890,-0.015736
1.055557,-0.015259
1.062225,-0.015259
1.068892,-0.015259
1.075560,-0.014305
1.082227,-0.013351
1.088895,-0.012875
1.095562,-0.012398
1.102230,-0.012398
1.108898,-0.012875
1.115565,-0.012398
1.122233,-0.011921
1.128900,-0.010967
1.135568,-0.010490
1.142235,-0.010014
1.148903,-0.009537
1.155571,-0.009537
1.162238,-0.010490
1.168905,-0.011921
1.175573,-0.012398
1.182241,-0.011921
1.188908,-0.011444
1.195576,-0.012398
1.202243,-0.013828
1.208911,-0.015259
1.215578,-0.016212
1.222246,-0.016689
1.228914,-0.016212
1.235581,-0.015259
1.242249,-0.013828
1.248916,-0.013828
1.255584,-0.013828
1.262251,-0.014782
1.268919,-0.015259
1.275586,-0.015259
1.282254,-0.014782
1.288922,-0.013828
1.295589,-0.012398
1.302257,-0.011444
1.308924,-0.012398
1.315592,-0.014305
1.322259,-0.016212
1.328927,-0.017643
1.335595,-0.018597
1.342262,-0.019550
1.348930,-0.020504
1.355597,-0.021458
1.362265,-0.023365
1.368932,-0.026703
1.375600,-0.030518
1.382267,-0.034809
1.388935,-0.039101
1.395602,-0.044346
1.402270,-0.054836
1.408938,-0.074387
1.415605,-0.105858
1.422273,-0.148296
1.428940,-0.199795
1.435608,-0.259399
1.442275,-0.331879
1.448943,-0.434875
1.455611,-0.567913
1.462278,-0.708103
1.468946,-0.829220
1.475613,-0.925541
1.482281,-1.004219
1.488948,-1.049042
1.495616,-1.057148
1.502283,-1.051426
1.508951,-1.059532
1.515618,-1.086235
1.522286,-1.117229
1.528954,-1.157761
1.535621,-1.219273
1.542289,-1.297474
1.548956,-1.366615
1.555624,-1.396656
1.562291,-1.385212
1.568959,-1.340866
1.575626,-1.273632
1.582294,-1.193523
1.588962,-1.122952
1.595629,-1.089573
1.602297,-1.092434
1.608964,-1.111984
1.615632,-1.123905
1.622299,-1.121998
1.628967,-1.111031
1.635635,-1.096725
1.642302,-1.082420
1.648970,-1.069546
1.655637,-1.060009
1.662305,-1.057148
1.668972,-1.054287
1.675640,-1.043797
1.682307,-1.025677
1.688975,-1.004696
1.695642,-0.978947
1.702310,-0.944138
1.708978,-0.905037
1.715645,-0.872612
1.722313,-0.846863
1.728980,-0.823975
1.735648,-0.800133
1.742315,-0.775337
1.748983,-0.748158
